age_days,variable,q05,q50,q95
1.0,phase_volume__gas_gen,0.0,0.0,0.0
1.0,phase_volume__hemihydrate,0.0,0.0,0.0
1.0,phase_volume__straetlingite,0.0,2.2144265226486902e-06,3.433319783250931e-06
1.0,phase_volume__thenardite,0.0,0.0,0.0
1.0,scalar__Eh,0.3983092869751366,0.448337330606384,0.5694546063607409
1.0,scalar__IS,0.3145468802157723,0.3912853878197489,0.5256618034296925
1.0,scalar__P,100000.0,100000.0,100000.0
1.0,scalar__T,293.15,293.15,293.15
1.0,scalar__aq_volume_frac,0.8140832880914612,0.799074469905514,0.7836362398800181
1.0,scalar__converged,True,True,True
1.0,scalar__elapsed_time,0.0050081,0.0051971,0.0049791
1.0,scalar__ionic_strength,0.3145468802157723,0.3912853878197489,0.5256618034296925
1.0,scalar__nelements,13,13,13
1.0,scalar__nphases,46,46,46
1.0,scalar__nspecies,140,140,140
1.0,scalar__num_iterations,231,281,248
1.0,scalar__pE,6.861457745036751,7.723263679941016,9.809685204514606
1.0,scalar__pH,13.467710207721236,12.608803231920222,10.523554683037789
1.0,scalar__pressure,100000.0,100000.0,100000.0
1.0,scalar__system_enthalpy,0.0,0.0,0.0
1.0,scalar__system_entropy,0.0,0.0,0.0
1.0,scalar__system_gibbs_energy,-332.67375564614537,-346.883034198078,-358.8997842443851
1.0,scalar__system_heat_capacity_const_p,0.0,0.0,0.0
1.0,scalar__system_mass,0.0630357938389963,0.0654497395765918,0.0675150216753184
1.0,scalar__system_volume,5.272144808700894e-05,5.355512894545968e-05,5.426723924972217e-05
1.0,scalar__temperature,293.15,293.15,293.15
1.0,scalar__water_activity,0.0,0.0,0.0
3.0,phase_mass__Al(OH)3am,0.0,0.0,0.0
3.0,phase_mass__Anhydrite,0.0,0.0,0.0
3.0,phase_mass__Aragonite,0.0,0.0,0.0
3.0,phase_mass__Brucite,0.0004583522912047,0.0,0.0
3.0,phase_mass__C2AH75,0.0,0.0,0.0
3.0,phase_mass__C2ASH55,0.0,0.0,0.0
3.0,phase_mass__C3(AF)S0.84H,0.0019550935152778,0.0028728122035853,0.0029550573183169
3.0,phase_mass__C3AH6,0.0,0.0,0.0
3.0,phase_mass__C4AH11,0.0,0.0,0.0
3.0,phase_mass__C4AH13,0.0,0.0,0.0
3.0,phase_mass__C4AH19,0.0,0.0,0.0
3.0,phase_mass__C4Ac0.5H105,0.0,0.0,0.0
3.0,phase_mass__C4Ac0.5H12,0.0,0.0,0.0
3.0,phase_mass__C4Ac0.5H9,0.0,0.0,0.0
3.0,phase_mass__C4AcH11,0.0,0.0,0.0
3.0,phase_mass__C4AcH9,0.0,0.0,0.0
3.0,phase_mass__C4AsH105,0.0,0.0,0.0
3.0,phase_mass__C4AsH12,0.0,0.0,0.0
3.0,phase_mass__C4AsH14,0.0,0.0,0.0
3.0,phase_mass__C4AsH16,0.0,0.0,0.0
3.0,phase_mass__C4AsH9,0.0,0.0,0.0
3.0,phase_mass__C6AsH13,0.0,0.0,0.0
3.0,phase_mass__C6AsH9,0.0,0.0,0.0
3.0,phase_mass__CAH10,0.0,0.0,0.0
3.0,phase_mass__CO3_SO4_AFt,0.0,0.0,0.0
3.0,phase_mass__CSHQ,0.0156758709188712,0.0160234945971774,0.0142497924389827
3.0,phase_mass__Calcite,0.0,0.0,0.0
3.0,phase_mass__Friedels,0.0,0.0,0.0
3.0,phase_mass__Gypsum,0.0,0.0,0.0
3.0,phase_mass__Kuzels,0.0,0.0,0.0
3.0,phase_mass__MSH,0.0,0.0,0.0011147689545777
3.0,phase_mass__MgAl-OH-LDH,0.0,0.0008886933650852,0.0
3.0,phase_mass__Na-oxide,0.0,0.0,0.0
3.0,phase_mass__OH_SO4_AFm,0.002169262394239,0.0,0.0
3.0,phase_mass__Portlandite,0.0007338251659304,0.0,0.0
3.0,phase_mass__SO4_CO3_AFt,0.0,0.0,0.0
3.0,phase_mass__SO4_OH_AFm,0.002169262394239,0.0,0.0
3.0,phase_mass__Silica-amorph,0.0,0.0,0.0
3.0,phase_mass__Sulphur,0.0,0.0,0.0
3.0,phase_mass__aq_gen,0.0404276386670104,0.0383276903899528,0.0379693190038874
3.0,phase_mass__arcanite,0.0,0.0,0.0
3.0,phase_mass__ettringite,0.0086251204848547,0.0109439816131974,0.0089657083977775
3.0,phase_mass__gas_gen,0.0,0.0,0.0
3.0,phase_mass__hemihydrate,0.0,0.0,0.0
3.0,phase_mass__straetlingite,0.0,0.0069734377885463,0.0141556818641064
3.0,phase_mass__thenardite,0.0,0.0,0.0
3.0,phase_volume__Al(OH)3am,0.0,0.0,0.0
3.0,phase_volume__Anhydrite,0.0,0.0,0.0
3.0,phase_volume__Aragonite,0.0,0.0,0.0
3.0,phase_volume__Brucite,0.0,0.0,0.0
3.0,phase_volume__C2AH75,0.0,0.0,0.0
3.0,phase_volume__C2ASH55,0.0,0.0,0.0
3.0,phase_volume__C3(AF)S0.84H,6.656001253908337e-07,9.776825144962549e-07,9.928429340819455e-07
3.0,phase_volume__C3AH6,0.0,0.0,0.0
3.0,phase_volume__C4AH11,0.0,0.0,0.0
3.0,phase_volume__C4AH13,0.0,0.0,0.0
3.0,phase_volume__C4AH19,0.0,0.0,0.0
3.0,phase_volume__C4Ac0.5H105,0.0,0.0,0.0
3.0,phase_volume__C4Ac0.5H12,0.0,0.0,0.0
3.0,phase_volume__C4Ac0.5H9,0.0,0.0,0.0
3.0,phase_volume__C4AcH11,0.0,0.0,0.0
3.0,phase_volume__C4AcH9,0.0,0.0,0.0
3.0,phase_volume__C4AsH105,0.0,0.0,0.0
3.0,phase_volume__C4AsH12,0.0,0.0,0.0
3.0,phase_volume__C4AsH14,0.0,0.0,0.0
3.0,phase_volume__C4AsH16,0.0,0.0,0.0
3.0,phase_volume__C4AsH9,0.0,0.0,0.0
3.0,phase_volume__C6AsH13,0.0,0.0,0.0
3.0,phase_volume__C6AsH9,0.0,0.0,0.0
3.0,phase_volume__CAH10,0.0,0.0,0.0
3.0,phase_volume__CO3_SO4_AFt,0.0,0.0,0.0
3.0,phase_volume__CSHQ,6.946908507356127e-06,6.734723143519559e-06,6.025250873154023e-06
3.0,phase_volume__Calcite,0.0,0.0,0.0
3.0,phase_volume__Friedels,0.0,0.0,0.0
3.0,phase_volume__Gypsum,0.0,0.0,0.0
3.0,phase_volume__Kuzels,0.0,0.0,0.0
3.0,phase_volume__MSH,0.0,0.0,4.814865522922289e-07
3.0,phase_volume__MgAl-OH-LDH,0.0,4.460995389418966e-07,0.0
3.0,phase_volume__Na-oxide,0.0,0.0,0.0
3.0,phase_volume__OH_SO4_AFm,1.078685971720724e-06,0.0,0.0
3.0,phase_volume__Portlandite,0.0,0.0,0.0
3.0,phase_volume__SO4_CO3_AFt,0.0,0.0,0.0
