obs_uid,fold,paper_doi,age_d,role,method_group,observed,bayes_mean,bayes_lo,bayes_hi,gbm_point,blend_mean,blend_lo,blend_hi,ess,applied
10.1016/j.cemconres.2021.106477::mix2::DoR_SCM::0,0,10.1016/j.cemconres.2021.106477,1.0,other,XRD_PONKCS,27.0,9.310014528789765,0.0,22.090135764170114,6.390957937781464,10.004248030245396,0.0,22.564385845036927,579.5392510129883,True
10.1016/j.cemconres.2021.106477::mix7::DoR_SCM::1,0,10.1016/j.cemconres.2021.106477,90.0,other,XRD_PONKCS,100.0,42.59634648490502,12.412374491035182,72.03556951591729,46.46598050926678,44.144200397127015,27.764450720257972,61.042343245569,573.1535490818485,True
10.1016/j.cemconres.2022.106935::S95_ref::DoR_SCM::56,0,10.1016/j.cemconres.2022.106935,1.0,slag,selective_dissolution,5.0,12.497120024400004,0.0,27.382455503765662,0.3382695333196368,7.755437474133584,0.0,19.005184102875695,428.88311468251635,True
10.1016/j.cemconres.2022.106935::S95_ref::DoR_SCM::57,0,10.1016/j.cemconres.2022.106935,7.0,slag,selective_dissolution,16.0,25.153798678488737,4.656759516090486,48.88697520914771,10.155358733592754,14.874895365665319,0.7005391316840469,28.15308540423322,431.71720629711064,True
10.1016/j.cemconres.2022.106935::S95_ref::DoR_SCM::58,0,10.1016/j.cemconres.2022.106935,28.0,slag,selective_dissolution,19.9,35.76097703824267,8.465595639806162,66.81312327251646,18.273740842717658,21.14193657530559,6.5847255893441305,34.971123161049114,432.32339692534555,True
10.1016/j.cemconres.2022.106935::S75_ref::DoR_SCM::59,0,10.1016/j.cemconres.2022.106935,1.0,slag,selective_dissolution,7.6,13.646954782602698,0.0,28.140884519661533,0.9395550846014017,7.639896150172931,0.0,18.47917738588244,362.59455984499306,True
10.1016/j.cemconres.2022.106935::S75_ref::DoR_SCM::60,0,10.1016/j.cemconres.2022.106935,7.0,slag,selective_dissolution,17.3,26.747222137193717,6.437114357814571,46.92885800714658,10.721660263169287,15.331822484594811,2.345004026715856,28.822857242675074,358.1101695653752,True
10.1016/j.cemconres.2022.106935::S75_ref::DoR_SCM::61,0,10.1016/j.cemconres.2022.106935,28.0,slag,selective_dissolution,22.7,39.37722709280028,10.53081507346994,67.91468260999761,18.84004237229419,21.468731426847537,5.659356143134597,36.56594280340748,340.7883129973962,True
10.1016/j.cemconres.2022.106935::S50_ref::DoR_SCM::62,0,10.1016/j.cemconres.2022.106935,1.0,slag,selective_dissolution,4.3,12.900881721220655,0.0,26.928413813213417,3.9543321647977305,9.053268378759178,0.0,20.38951504351423,383.6878421615747,True
10.1016/j.cemconres.2022.106935::S50_ref::DoR_SCM::63,0,10.1016/j.cemconres.2022.106935,7.0,slag,selective_dissolution,20.8,27.02463197506473,7.165367277357158,46.245321466339966,15.602830491170264,18.949834802720186,6.6146139060195335,31.17474717925865,427.02752918898193,True
