method,n_obs,sigma
NMR,78,14.32435152713187
SEM_BSE,168,12.823223397914523
XRD_PONKCS,56,9.533233880293064
XRD_other,76,6.785911615366321
calorimetry,16,14.275402157402443
mass_balance,75,10.409812745358861
other_unknown,416,10.575826547864608
selective_dissolution,236,6.278562856287411
unknown,489,7.648584517535451
