role,n_obs,a_max_pct,a_max_hdi3,a_max_hdi97,tau_days
fly_ash,755,30.614854239703956,25.6528358185266,36.43233067876945,30.70832679143518
other,304,38.98021133720646,32.933993917914925,45.67598306523776,5.218756754524493
slag,551,56.912468219433116,51.20930965749272,62.88324160148999,13.336399493331735
